,price,value,unit
0,4000.0,30,0.0075
1,3800.0,40,0.010526315789473684
2,3610.0,50,0.013850415512465374
3,3429.5,60,0.01749526169995626
4,3258.025,70,0.021485409105209442
5,3095.12375,80,0.02584710869799632
6,2940.3675625000005,90,0.030608418194995643
7,2793.3491843750007,100,0.035799319526310686
8,2653.6817251562506,110,0.041451843662043956
9,2520.997638898438,120,0.04760020324828015
10,2394.947756953516,130,0.05428093352874051
11,2275.2003691058403,140,0.06153304205687184
12,2161.440350650548,150,0.0693981677333141
13,2053.3683331180205,160,0.07792074973565094
14,1950.6999164621195,170,0.08714820694118855
15,1853.1649206390136,180,0.09713112847934327
16,1760.506674607063,190,0.10792347608815919
17,1672.4813408767097,200,0.11958279898965007
18,1588.8572738328742,210,0.13217046204119218
19,1509.4144101412303,220,0.14575188796522448
20,1433.9436896341688,230,0.16039681450718485
21,1362.2465051524603,240,0.17617956742207946
22,1294.1341798948372,250,0.19317935024350819
23,1229.4274709000954,260,0.21148055184552475
24,1167.9560973550906,270,0.23117307286757768
25,1109.558292487336,280,0.25235267213614715
26,1054.0803778629693,290,0.27512133428376945
27,1001.3763589698209,300,0.29958765983713553
28,951.3075410213298,310,0.32586727912109476
29,903.7421639702634,320,0.35408329140492467
30,858.5550557717502,330,0.38436673080139855
31,815.6273029831626,340,0.41685706051826316
32,774.8459378340044,350,0.4517026971560128
33,736.1036409423042,360,0.4890615668456078
34,699.298458895189,370,0.5291016951253652
35,664.3335359504295,380,0.5720018325679624
36,631.116859152908,390,0.6179521182867184
37,599.5610161952626,400,0.6671547835754045
38,569.5829653854995,410,0.7198248980681995
39,541.1038171162245,420,0.776191160946454
40,514.0486262604132,430,0.8364967398671058
41,500.0,440,0.88
