,datetime,open,high,low,close,volume,ema1,ema2,signal
0,2022-06-26 12:45:00,1825.7,1825.8,1824.4,1824.4,20900.211,,,0
1,2022-06-26 13:00:00,1824.4,1824.9,1822.8,1822.9,23777.828,,,0
2,2022-06-26 13:15:00,1822.9,1823.7,1822.0,1822.5,3899.724,,,0
3,2022-06-26 13:30:00,1822.5,1823.2,1822.0,1823.2,13959.832,,,0
4,2022-06-26 13:45:00,1823.2,1823.2,1823.0,1823.2,0.0,1823.303703703704,,0
5,2022-06-26 14:00:00,1823.2,1826.0,1822.9,1824.2,97291.38,1823.6024691358027,,0
6,2022-06-26 14:15:00,1824.2,1827.0,1824.0,1824.8,50549.837,1824.0016460905354,,0
7,2022-06-26 14:30:00,1824.8,1825.9,1824.8,1825.6,1040.739,1824.5344307270236,,0
8,2022-06-26 14:45:00,1825.6,1826.5,1825.4,1825.6,1971.995,1824.8896204846826,,0
9,2022-06-26 15:00:00,1825.6,1828.1,1825.4,1825.4,16076.019,1825.0597469897887,1824.644919919048,0
10,2022-06-26 15:15:00,1825.4,1826.9,1825.3,1825.9,26569.171,1825.339831326526,1824.873116297403,0
11,2022-06-26 15:30:00,1825.9,1826.4,1825.3,1825.3,10551.809,1825.3265542176841,1824.9507315160567,0
12,2022-06-26 15:45:00,1825.3,1825.3,1825.3,1825.3,565.843,1825.3177028117893,1825.0142348767736,0
13,2022-06-26 16:00:00,1825.3,1827.0,1825.2,1825.7,13966.058,1825.4451352078597,1825.1389194446328,0
14,2022-06-26 16:15:00,1825.7,1825.9,1825.2,1825.2,164.305,1825.3634234719066,1825.150025000154,0
15,2022-06-26 16:30:00,1825.2,1825.8,1825.2,1825.8,255.579,1825.508948981271,1825.2682022728532,0
16,2022-06-26 16:45:00,1825.8,1825.8,1825.3,1825.3,22214.556,1825.4392993208476,1825.2739836777887,0
17,2022-06-26 17:00:00,1825.3,1828.1,1825.2,1825.3,36852.257,1825.3928662138983,1825.2787139181905,0
18,2022-06-26 17:15:00,1825.3,1825.7,1825.3,1825.4,2500.675,1825.395244142599,1825.300765933065,0
